[2024-02-26 13:54:47.070]	 List of discovered tpm plugins: arcticicestudio/nord-tmux tmux-plugins/tmux-prefix-highlight tmux-plugins/tmux-copycat tmux-plugins/tmux-cpu tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum
[2024-02-26 15:33:58.128]	 Already installed "tmux-copycat"
[2024-02-26 15:33:58.129]	 Already installed "tmux-cpu"
[2024-02-26 15:33:58.129]	 Already installed "tmux-resurrect"
[2024-02-26 15:33:58.129]	 Already installed "tmux-continuum"
[2024-02-26 15:33:58.141]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-02-26 15:33:58.155]	 Updating all plugins!
[2024-02-26 15:33:58.155]	 
[2024-02-26 15:33:58.923]	   "nord-tmux" update success
[2024-02-26 15:33:58.924]	   "vim-tmux-navigator" update success
[2024-02-26 15:33:58.926]	     | Already up to date.
[2024-02-26 15:33:58.926]	     | Already up to date.
[2024-02-26 15:33:58.932]	   "tmux-prefix-highlight" update success
[2024-02-26 15:33:58.934]	     | Already up to date.
[2024-02-26 15:33:58.936]	   "tmux-copycat" update success
[2024-02-26 15:33:58.938]	     | Already up to date.
[2024-02-26 15:33:58.945]	   "tmux-resurrect" update success
[2024-02-26 15:33:58.947]	     | Already up to date.
[2024-02-26 15:33:58.948]	   "tmux-continuum" update success
[2024-02-26 15:33:58.950]	     | Already up to date.
[2024-02-26 15:33:59.062]	   "tmux-cpu" update success
[2024-02-26 15:33:59.065]	     | Already up to date.
[2024-02-26 15:33:59.076]	 Invoking /home/hillton/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-02-26 15:33:59.122]	 Done.

